Vdark	Idark	Vphoto	Iphoto	R	Vphoto
18	0.707256	18	1.779990605	1.07	18
18.1	0.715209	18.1	1.785545069	1.07	18.1
18.2	0.723202	18.2	1.791139165	1.07	18.2
18.3	0.731234	18.3	1.796742892	1.07	18.3
18.4	0.739306	18.4	1.802386436	1.06	18.4
18.5	0.747417	18.5	1.808039428	1.06	18.5
18.6	0.755567	18.6	1.813712236	1.06	18.6
18.7	0.763757	18.7	1.819404676	1.06	18.7
18.8	0.771985	18.8	1.825126748	1.05	18.8
18.9	0.780253	18.9	1.830858636	1.05	18.9
19	0.78856	19	1.836610156	1.05	19
19.1	0.796905	19.1	1.842391308	1.05	19.1
19.2	0.80529	19.2	1.848192092	1.04	19.2
19.3	0.813714	19.3	1.854022692	1.04	19.3
19.4	0.822176	19.4	1.859872924	1.04	19.4
19.5	0.830678	19.5	1.865762972	1.04	19.5
19.6	0.839218	19.6	1.871682652	1.03	19.6
19.7	0.847797	19.7	1.877641963	1.03	19.7
19.8	0.856414	19.8	1.883641091	1.03	19.8
19.9	0.86507	19.9	1.889679851	1.02	19.9
20	0.873765	20	1.895768427	1.02	20
