lambda	100 nm	150 nm	200 nm	250 nm	300 nm	350 nm	400 nm	425 nm
1465	0.241856	0.284674	0.189285	0.112056	0.165141	0.190368	0.170551	0.144182
1470	0.242107	0.287604	0.173449	0.105703	0.169752	0.200211	0.179763	0.148027
1475	0.242901	0.289296	0.159832	0.101068	0.174723	0.210573	0.189967	0.154604
1480	0.250493	0.303986	0.156632	0.0855891	0.183055	0.232499	0.214998	0.171365
1485	0.266915	0.377481	0.189597	0.0608461	0.203346	0.288367	0.289996	0.213898
1490	0.262027	0.406694	0.452758	0.0314118	0.148511	0.242563	0.321565	0.310344
1495	0.261689	0.395431	0.397314	0.0302357	0.161582	0.255149	0.32027	0.298064
1500	0.265483	0.426671	0.720999	0.0408324	0.146553	0.259653	0.391689	0.436682
1505	0.259278	0.412217	0.709039	0.116598	0.114685	0.22611	0.383485	0.518907
1510	0.252051	0.383026	0.598813	0.169271	0.082784	0.181175	0.31689	0.45498
1515	0.24367	0.363593	0.559276	0.195551	0.0652317	0.152854	0.275162	0.396736
1520	0.239264	0.353423	0.527829	0.20609	0.0585857	0.139899	0.252823	0.357767
1525	0.239832	0.346716	0.508836	0.225311	0.0535737	0.130258	0.235339	0.331951
1530	0.237961	0.343555	0.507189	0.245647	0.0499087	0.122787	0.22609	0.31871
1535	0.240659	0.345906	0.494054	0.26429	0.0485134	0.119825	0.220485	0.308074
1540	0.245462	0.349873	0.488485	0.290144	0.045613	0.115635	0.214692	0.302331
1545	0.246486	0.354899	0.484381	0.309646	0.0429525	0.112185	0.213346	0.301955
1550	0.252047	0.361866	0.47248	0.329358	0.0400236	0.109854	0.210991	0.300183
1555	0.253709	0.364989	0.469167	0.348817	0.0350191	0.104051	0.206721	0.298965
1560	0.253212	0.366798	0.460036	0.360331	0.0307788	0.0991932	0.20346	0.295601
1565	0.255778	0.367485	0.452023	0.375014	0.0257124	0.0929362	0.196177	0.287749
1570	0.25175	0.363824	0.447511	0.382996	0.0208884	0.0850444	0.188936	0.279183
1575	0.251675	0.361987	0.437696	0.390064	0.0172959	0.0789102	0.181278	0.267525
1580	0.249523	0.357456	0.433811	0.397319	0.0138306	0.0706933	0.171445	0.254962
1585	0.245288	0.352776	0.426379	0.398703	0.0120521	0.0640018	0.163831	0.242886
1590	0.245723	0.349801	0.420632	0.404234	0.0112592	0.0574196	0.1544	0.229516
1595	0.240127	0.343733	0.416373	0.403973	0.011686	0.050402	0.14624	0.217903
1600	0.240136	0.341373	0.409472	0.406076	0.0137087	0.0453712	0.138669	0.206065
