100 nm


lambda, Y
900, 0.0798912
905, 0.0796188
910, 0.0791959
915, 0.0786848
920, 0.0783912
925, 0.0783796
930, 0.0782122
935, 0.0778026
940, 0.0777622
945, 0.0779078
950, 0.0776458
955, 0.0777521
960, 0.0780569
965, 0.0779573
970, 0.0785005
975, 0.0787184
980, 0.0791955
985, 0.0798616
990, 0.0803574
995, 0.0813844
1000, 0.0820592
1005, 0.0833789
1010, 0.0843898
1015, 0.0859375
1020, 0.0875119
1025, 0.0891907
1030, 0.0915932
1035, 0.093521
1040, 0.0966396
1045, 0.0996377
1050, 0.102981
1055, 0.107692
1060, 0.112287
1065, 0.117797
1070, 0.125178
1075, 0.133119
1080, 0.142093
1085, 0.153504
1090, 0.166223
1095, 0.177517
1100, 0.184009
1105, 0.180465
1110, 0.164002
1115, 0.141542
1120, 0.123949
1125, 0.115702
1130, 0.11555
1135, 0.120674
1140, 0.128646
1145, 0.137915
1150, 0.147709
1155, 0.157711
1160, 0.167753
1165, 0.177629
1170, 0.187071
1175, 0.195788
1180, 0.203528
1185, 0.210118
1190, 0.215474
1195, 0.219595
1200, 0.222542
1205, 0.224418
1210, 0.225355
1215, 0.225485
1220, 0.224946
1225, 0.22386
1230, 0.222336
1235, 0.220468
1240, 0.218329
1245, 0.215981
1250, 0.213482
1255, 0.210883
1260, 0.208246
1265, 0.205644
1270, 0.203158
1275, 0.200863
1280, 0.198801
1285, 0.196946
1290, 0.195189
1295, 0.193363
1300, 0.191317
1305, 0.189019
1310, 0.186634
1315, 0.184479
1320, 0.182806
1325, 0.181571
1330, 0.180363
1335, 0.1787
1340, 0.176503
1345, 0.174296
1350, 0.172727
1355, 0.17178
1360, 0.170631
1365, 0.168603
1370, 0.166176
1375, 0.164496
1380, 0.16364
1385, 0.16227
1390, 0.159689
1395, 0.157227
1400, 0.156068
1405, 0.154859
1410, 0.151984
1415, 0.148937
1420, 0.147566
1425, 0.145864
1430, 0.141899
1435, 0.138471
1440, 0.136956
1445, 0.133257
1450, 0.127421
1455, 0.124358
1460, 0.120765
1465, 0.112056
1470, 0.105703
1475, 0.101068
1480, 0.0855891
1485, 0.0608461
1490, 0.0314118
1495, 0.0302357
1500, 0.0408324
1505, 0.116598
1510, 0.169271
1515, 0.195551
1520, 0.20609
1525, 0.225311
1530, 0.245647
1535, 0.26429
1540, 0.290144
1545, 0.309646
1550, 0.329358
1555, 0.348817
1560, 0.360331
1565, 0.375014
1570, 0.382996
1575, 0.390064
1580, 0.397319
1585, 0.398703
1590, 0.404234
1595, 0.403973
1600, 0.406076

300nm


lambda, Y
300, 0.255535
305, 0.25426
310, 0.253543
315, 0.25281
320, 0.252682
325, 0.252067
330, 0.251558
335, 0.250598
340, 0.249317
345, 0.247724
350, 0.246503
355, 0.245305
360, 0.243736
365, 0.240343
370, 0.235234
375, 0.230228
380, 0.226564
385, 0.224818
390, 0.224257
395, 0.22459
400, 0.225545
405, 0.228758
410, 0.235924
415, 0.245902
420, 0.256555
425, 0.277283
430, 0.276949
435, 0.275034
440, 0.276648
445, 0.285769
450, 0.294888
455, 0.301266
460, 0.305378
465, 0.307483
470, 0.30633
475, 0.300133
480, 0.286835
