100 nm


lambda, Y
1525, 0.00995335
1530, 0.00972239
1535, 0.0093127
1540, 0.00909369
1545, 0.00870596
1550, 0.00824533
1555, 0.00794376
1560, 0.00737587
1565, 0.00704841
1570, 0.00662333
1575, 0.00617675
1580, 0.00594428
1585, 0.00547089
1590, 0.00528917
1595, 0.00494256
1600, 0.00468694

300 nm


lambda, Y
300, 0.195181
305, 0.196506
310, 0.199937
315, 0.197593
320, 0.202113
325, 0.197587
330, 0.19857
335, 0.200605
340, 0.200783
345, 0.196551
350, 0.198958
355, 0.197442
360, 0.197197
365, 0.201816
370, 0.212268
375, 0.224655
380, 0.237244
385, 0.244724
390, 0.253438
395, 0.264142
400, 0.26645
405, 0.2604
410, 0.255405
415, 0.252408
420, 0.251032
425, 0.23942
430, 0.227188
435, 0.230963
440, 0.226892
445, 0.216748
450, 0.210835
455, 0.210716
460, 0.21414
465, 0.220213
470, 0.229828
475, 0.244402
480, 0.262867
485, 0.280796
490, 0.287541
495, 0.280502
500, 0.268397
505, 0.262064
510, 0.270778
515, 0.289257
520, 0.266944
525, 0.23079
530, 0.212782
535, 0.205613
540, 0.203948
545, 0.205692
550, 0.209884
555, 0.215838
560, 0.222739
565, 0.228318
570, 0.228955
575, 0.224103
580, 0.213183
585, 0.198488
590, 0.182061
595, 0.166192
600, 0.152473
605, 0.141402
610, 0.132942
615, 0.126608
620, 0.121743
625, 0.117985
630, 0.115185
635, 0.113091
640, 0.111524
645, 0.11084
650, 0.110587
655, 0.111417
660, 0.113054
665, 0.116609
670, 0.121508
675, 0.127617
680, 0.133995
685, 0.139799
690, 0.14577
695, 0.153027
700, 0.160534
705, 0.161329
710, 0.145474
715, 0.119563
720, 0.0993904
725, 0.0879801
730, 0.0820291
735, 0.0788826
740, 0.0771265
745, 0.0759439
750, 0.0750889
755, 0.0745075
760, 0.0738489
765, 0.0732865
770, 0.0724809
775, 0.0714086
780, 0.0692776
785, 0.0630951
790, 0.0528214
795, 0.0462494
800, 0.0444927
805, 0.0457037
810, 0.0453386
815, 0.0433272
820, 0.0409229
825, 0.0386103
830, 0.0365153
835, 0.0347309
840, 0.0333924
845, 0.0326165
850, 0.0319417
855, 0.0306881
860, 0.0294898
865, 0.0288196
870, 0.0287225
875, 0.0286849
880, 0.0276987
885, 0.0261151
890, 0.0247511
895, 0.0236953
900, 0.0228081
905, 0.0220313
910, 0.0214022
915, 0.0209222
920, 0.0204642
925, 0.0199089
930, 0.0194564
935, 0.0192226
940, 0.0188764
945, 0.0184695
950, 0.0183332
955, 0.0181162
960, 0.0179439
965, 0.0180062
970, 0.0177092
975, 0.0174383
980, 0.017057
985, 0.0167605
990, 0.0165532
995, 0.0163329
1000, 0.0162495
1005, 0.0161509
1010, 0.0162162
1015, 0.016379
1020, 0.016737
1025, 0.0172868
1030, 0.0175171
1035, 0.0174118
1040, 0.0169464
1045, 0.0167051
1050, 0.0167231
1055, 0.0168267
1060, 0.0173565
1065, 0.0182355
1070, 0.0194658
1075, 0.0215492
1080, 0.024603
1085, 0.0280329
1090, 0.0306684
1095, 0.0319502
1100, 0.0331449
1105, 0.0357205
1110, 0.0398847
1115, 0.0437886
1120, 0.0443301
1125, 0.0410055
1130, 0.0362483
1135, 0.0320332
1140, 0.0289805
1145, 0.0270563
1150, 0.0260266
1155, 0.0255572
1160, 0.0252326
1165, 0.0247945
1170, 0.0243374
1175, 0.0240551
1180, 0.0240326
