lambda	100 nm	150 nm	200 nm	250 nm	300 nm	350 nm	400 nm	425 nm
1390	0.0464127	0.0453255	0.0339069	0.0223201	0.00863837	0.0107014	0.0151959	0.0199656
1395	0.0463366	0.0453332	0.0334639	0.0220318	0.00880685	0.0108753	0.0148725	0.019022
1400	0.0460726	0.0451273	0.0329449	0.021912	0.00898352	0.0110814	0.0146363	0.0182148
1405	0.046028	0.0451189	0.032939	0.0218378	0.00915919	0.011288	0.0144329	0.0175475
1410	0.046254	0.0454346	0.0331085	0.0215911	0.00938225	0.0115659	0.0144076	0.0171881
1415	0.0462843	0.0455912	0.0326901	0.0213003	0.00966671	0.0119498	0.014583	0.0170519
1420	0.0460537	0.0454164	0.032054	0.0212055	0.0099509	0.0123442	0.0147516	0.0168916
1425	0.0461004	0.0455016	0.0321269	0.0211362	0.0102374	0.0127289	0.0149128	0.0168181
1430	0.0464366	0.0460082	0.0323711	0.0208544	0.0106228	0.0132556	0.0153286	0.0170854
1435	0.0464512	0.0462068	0.0317249	0.0206109	0.0110894	0.0139203	0.015923	0.0174564
1440	0.0462945	0.0460746	0.0310761	0.0205884	0.011529	0.014539	0.0163901	0.0176912
1445	0.0466224	0.0465395	0.0315095	0.0204415	0.0120529	0.0152478	0.0170141	0.0182384
1450	0.0470257	0.0473502	0.0315655	0.0201612	0.0128086	0.0163076	0.018136	0.0192414
1455	0.0469541	0.0474837	0.0304268	0.0201447	0.0136064	0.0174475	0.0192358	0.0200537
1460	0.0471826	0.0478171	0.0303496	0.0201665	0.0144494	0.0185846	0.0202944	0.0210174
1465	0.0479623	0.049417	0.0315078	0.0201016	0.0158175	0.0204537	0.0224031	0.0231202
1470	0.0482925	0.0507767	0.0309441	0.0205518	0.0176157	0.0230194	0.0252001	0.025441
1475	0.0486794	0.0517954	0.0300215	0.0212769	0.0196312	0.0257929	0.0279625	0.0278128
1480	0.0504481	0.0568326	0.0348064	0.0233345	0.0237993	0.0314716	0.0346082	0.0344177
1485	0.0555397	0.0849547	0.0877932	0.0380575	0.0356524	0.0488236	0.0581011	0.0560281
1490	0.0591596	0.0960545	0.133547	0.0416225	0.036326	0.0466874	0.0612489	0.0711463
1495	0.0582732	0.0930798	0.126091	0.0411433	0.0380153	0.0493638	0.0635356	0.0719581
1500	0.0629851	0.110396	0.214983	0.0781106	0.0515164	0.0635975	0.0893522	0.118325
1505	0.0650502	0.109781	0.186684	0.10422	0.0603195	0.0672051	0.0923318	0.140034
1510	0.0648481	0.100782	0.141468	0.0923749	0.059148	0.0595999	0.0749587	0.114638
1515	0.0645593	0.0967559	0.126622	0.0844359	0.0579649	0.055022	0.0655216	0.0971751
1520	0.0647785	0.0954581	0.116324	0.0789306	0.0581812	0.0532983	0.0607366	0.0868442
1525	0.065838	0.094997	0.10906	0.0779547	0.0596452	0.0527911	0.0582229	0.0820521
1530	0.066931	0.0967082	0.108345	0.0803671	0.0626551	0.0541055	0.0584558	0.0810899
1535	0.0681653	0.0982807	0.103971	0.0814764	0.0649096	0.0549128	0.0580013	0.0793179
1540	0.0694015	0.0995376	0.101571	0.0845022	0.0665863	0.0552687	0.0577349	0.0788729
1545	0.0696569	0.100371	0.100567	0.0867128	0.0674976	0.0553616	0.0574615	0.0780323
