100 nm


lambda, Y
575, 0.0753516
580, 0.0750426
585, 0.0757562
590, 0.0777678
595, 0.0812397
600, 0.0855921
605, 0.0881171
610, 0.0836811
615, 0.0709335
620, 0.0557861
625, 0.042826
630, 0.0328563
635, 0.0253747
640, 0.0204752
645, 0.0176294
650, 0.0161466
655, 0.015685
660, 0.0161595
665, 0.0175166
670, 0.0191523
675, 0.0205725
680, 0.0215893
685, 0.0222327
690, 0.0230039
695, 0.0234442
700, 0.0237695
705, 0.0233783
710, 0.0200479
715, 0.0148631
720, 0.0110589
725, 0.0102143
730, 0.010736
735, 0.0113785
740, 0.0120054
745, 0.0126865
750, 0.0131595
755, 0.0138431
760, 0.0147425
765, 0.015672
770, 0.0173674
775, 0.0199209
780, 0.023982
785, 0.031819
790, 0.0432409
795, 0.0582555
800, 0.0645891
805, 0.0531134
810, 0.0404733
815, 0.0333129
820, 0.029498
825, 0.0275917
830, 0.0272455
835, 0.0279466
840, 0.0300646
845, 0.033408
850, 0.0340148
855, 0.0313203
860, 0.0307906
865, 0.0337189
870, 0.0391969
875, 0.0421818
880, 0.0367297
885, 0.0283722
890, 0.0225706
895, 0.0192859
900, 0.0176041
905, 0.0170053
910, 0.0167048
915, 0.0156879
920, 0.0143932
925, 0.013443
930, 0.0128082
935, 0.0124047
940, 0.0121442
945, 0.0119622
950, 0.0118724
955, 0.0118761
960, 0.0119496
965, 0.01205
970, 0.0120567
975, 0.0119555
980, 0.011887
985, 0.0119092
990, 0.0119674
995, 0.012085
1000, 0.0122714
1005, 0.0125295
1010, 0.0128776
1015, 0.0134092
1020, 0.0141325
1025, 0.01495
1030, 0.0154603
1035, 0.0153907
1040, 0.0151481
1045, 0.0150888
1050, 0.0152818
1055, 0.0157137
1060, 0.0164197
1065, 0.0174874
1070, 0.0190473
1075, 0.0213257
1080, 0.024495
1085, 0.0281614
1090, 0.0310001
1095, 0.0322994
1100, 0.0333402
1105, 0.0354713
1110, 0.038509
1115, 0.0404166
1120, 0.0390206
1125, 0.0350776
1130, 0.0309458
1135, 0.0278284
1140, 0.0258262
1145, 0.024694
1150, 0.0241769
1155, 0.0240161
1160, 0.0239097
1165, 0.0237276
1170, 0.0236007
1175, 0.0236542
1180, 0.0239172
1185, 0.024392
1190, 0.0250645
1195, 0.0259278
1200, 0.0269934
1205, 0.0282307
1210, 0.0295373
1215, 0.0308116
1220, 0.0320671
1225, 0.0334217
1230, 0.0349862
1235, 0.0367978
1240, 0.0388413
1245, 0.0410685
1250, 0.0433347
1255, 0.0453564
1260, 0.0468194
1265, 0.0475687
1270, 0.0476113
1275, 0.046944
1280, 0.0455023
1285, 0.0432558
1290, 0.0402884
1295, 0.0367889
1300, 0.0330301
1305, 0.0293174
1310, 0.0258912
1315, 0.022882
1320, 0.0203251
1325, 0.0181879
1330, 0.0164097
